id,name,description,output_statements.failure,output_statements.partial,output_statements.success,fix_details.description,fix_details.instructions,fix_details.estimated_date,fix_details.automation_available,created_by,category,metadata.tags,metadata.category,metadata.severity,metadata.operation.name,metadata.operation.logic,metadata.field_path,metadata.connection_id,metadata.resource_type,metadata.expected_value,updated_by,created_at,updated_at,is_deleted
1007,monitor_unauthorized_disclosure,Verify monitoring for unauthorized disclosure of organizational information,Check failed: One or more security features for monitoring unauthorized disclosure are not enabled.,Check partially passed,"Check passed: Advanced security, secret scanning, and push protection are enabled for monitoring unauthorized disclosure.","Enable advanced security, secret scanning, and push protection features","[""Go to repository settings > Code security and analysis"", ""Enable GitHub Advanced Security, Secret scanning, and Push protection""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""au"", ""github""]",monitoring,medium,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:39:43.885966""","""2025-08-07T22:39:43.885966""",False
1008,disassociate_audit_logs,Verify measures are implemented to disassociate individuals from audit logs transmitted across organizational boundaries,No measures found to disassociate individuals from cross-organizational audit logs,Check partially passed,Measures are implemented to disassociate individuals from cross-organizational audit logs,Implement technical controls to disassociate user identities from audit logs before transmitting across organizational boundaries,"[""Review data flows and identify audit log transmission paths"", ""Implement pseudonymization, anonymization or data masking"", ""Test and validate disassociation measures""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""au"", ""github""]",monitoring,medium,custom,"result = False
if fetched_value and ""disassociation"" in fetched_value.lower():
  result = True
",security_data.dependency_graph.security_and_analysis.advanced_security,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:40:07.032905""","""2025-08-07T22:40:07.032905""",False
1009,internal_system_connections_compliance_checks,Verify compliance checks are performed on system components prior to establishing internal connections,Check failed: One or more security and privacy compliance checks are disabled,Check partially passed,Check passed: Security and privacy compliance checks are enabled for system components,Enable all security and privacy compliance checks,"[""Go to repository settings > Code security and analysis"", ""Enable GitHub Advanced Security, Secret scanning, Dependency review""]",2023-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""ca"", ""github""]",configuration,high,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled and fetched_value.dependency_review_enabled:
    result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:40:41.696411""","""2025-08-07T22:40:41.696411""",False
101,avoid_single_points_of_failure,"Validates that systems and infrastructure avoid single points of failure by using load balancing, redundant storage, and high-availability components.","The system has only one network interface, creating a potential single point of failure.",Check partially passed,"The system uses multiple network interfaces, avoiding a single point of failure.",Add redundant network interfaces and use load balancing to improve resilience.,"[""Provision additional network interfaces in different availability zones."", ""Configure load balancing to distribute traffic across multiple network interfaces.""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""pr.ir"", ""aws"", ""high-availability"", ""load-balancing""]",configuration,medium,custom,"result = False
if fetched_value:
  network_interface_count = len(fetched_value)
  if network_interface_count > 1:
    result = True
",instances.network_interfaces,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T11:36:23.922521""","""2025-08-07T11:36:23.922521""",False
1010,ca_6_2_joint_authorization_inter_organization,"Verifies that a joint authorization process is employed for the system, including at least one authorizing official from an external organization.",The system does not employ a joint authorization process with an external organization.,Check partially passed,The system employs a joint authorization process including an external organization.,Establish a joint authorization process that includes at least one authorizing official from an organization external to your own.,"[""Identify and engage with an external organization to participate in the authorization process."", ""Define roles, responsibilities, and procedures for the joint authorization process."", ""Document the joint authorization process and obtain approvals from all participating organizations.""]",2024-06-30,False,llm_generator,access_control,"[""compliance"", ""nist"", ""ca"", ""aws""]",access_control,high,custom,"result = False
if fetched_value and ""External Org Authorization"" in fetched_value:
    result = True
",account.limits.default-vpc,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:41:20.179959""","""2025-08-07T22:41:20.179959""",False
1011,github_confined_environments_limited_privileges,Verifies that user-installed software executes in a confined environment with limited privileges,"Check failed: Repository does not have GitHub Pages enabled, user-installed software may not execute in a confined environment.",Check partially passed,"Check passed: Repository has GitHub Pages enabled, indicating user-installed software executes in a confined environment.",Enable GitHub Pages for the repository to ensure user-installed software executes in a confined environment with limited privileges.,"[""Navigate to the repository settings"", ""Under the 'GitHub Pages' section, select a source and enable GitHub Pages""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""github""]",configuration,medium,custom,"result = False
if fetched_value is True:
  result = True
",repository_data.metadata.has_pages,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:42:27.778926""","""2025-08-07T22:42:27.778926""",False
1012,aws_cm_7_6_confined_environments_limited_privileges,Verifies that user-installed software executes in a confined virtual environment with limited privileges.,User-installed software does not execute in confined environments with limited privileges.,Check partially passed,User-installed software executes in confined Spot instances with limited privileges.,Configure user-installed software to run on Spot instances with limited privileges.,"[""Identify user-installed software requiring confined environments."", ""Launch Spot instances with limited IAM roles and security groups."", ""Deploy user-installed software on the confined Spot instances.""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value == 'Spot':
  result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:42:37.042662""","""2025-08-07T22:42:37.042662""",False
1013,github_ia_9_2_compliance,Verify compliance with NIST 800-53 IA-9(2) - Service Identification and Authentication | Transmission of Decisions,"Check failed: One or more security features (advanced security, secret scanning, push protection) are not enabled.",Check partially passed,"Check passed: Advanced security, secret scanning, and push protection are enabled for the repository.",Enable advanced security features for the repository,"[""Navigate to the repository settings"", ""Under 'Security', enable Advanced Security, Secret Scanning, and Push Protection""]",2024-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""ia"", ""github""]",access_control,high,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled:
    result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:42:51.605584""","""2025-08-07T22:42:51.605584""",False
1014,allow_code_execution_in_protected_environments,Verifies that binary or machine-executable code is only allowed to execute in confined environments with explicit approval,Code execution is not properly restricted to protected environments or required security controls are disabled,Check partially passed,Code execution is restricted to protected environments with required security controls enabled,Enable advanced security features to restrict code execution,"[""Enable GitHub Advanced Security for the repository"", ""Enable GitHub Secret Scanning for the repository"", ""Enable GitHub Push Protection for the repository""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""github""]",configuration,high,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:43:13.652069""","""2025-08-07T22:43:13.652069""",False
1015,allow_code_execution_in_protected_environments,Verifies that binary or machine-executable code is only allowed to execute in confined environments with explicit approval when obtained from untrusted sources or without source code.,Code execution is allowed outside of isolated environments.,Check partially passed,"Code execution is restricted to spot instances, which are isolated environments.",Configure code execution policies to only allow untrusted code in isolated spot instances.,"[""Review application deployment processes and identify untrusted code sources"", ""Update security group rules to restrict code execution to spot instances"", ""Implement approval workflow for executing untrusted code in spot instances""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""aws""]",configuration,high,custom,"result = False
if fetched_value == 'spot':
  result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:43:30.166338""","""2025-08-07T22:43:30.166338""",False
1016,centralized_component_inventory,Verifies if a centralized repository exists for the inventory of system components,Check failed: No centralized repository for system component inventory found,Check partially passed,Check passed: A centralized repository for system component inventory exists,Establish a centralized repository to maintain an up-to-date inventory of system components,"[""Implement a centralized asset management system or database"", ""Configure automated inventory scanning and updates"", ""Integrate component inventory data from all sources into the central repository""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value:
  result = True
",account.reserved_instances,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:43:54.160875""","""2025-08-07T22:43:54.160875""",False
1017,cm_8_8_automated_location_tracking,Verifies that system components are tracked by geographic location using automated mechanisms.,Check failed: System components are not tracked by geographic location using automated mechanisms.,Check partially passed,Check passed: System components are tracked by geographic location using automated mechanisms.,Enable automated location tracking for system components.,"[""Configure AWS resource tagging to include geographic location metadata."", ""Implement automated processes to update component location tags when changes occur.""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value:
  result = True
",instances.availability_zone,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:44:12.783696""","""2025-08-07T22:44:12.783696""",False
1018,assign_config_mgmt_responsibility,Verify responsibility for configuration management process is assigned to personnel not involved in system development,Configuration management responsibility is not explicitly assigned to external personnel,Check partially passed,Configuration management responsibility is assigned to personnel not involved in system development,Assign configuration management process to team separate from developers,"[""Create a 'config-mgmt-external' topic for the repository"", ""Assign configuration management responsibilities to the team mapped to this topic""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""github""]",configuration,medium,custom,"result = False
config_mgmt_topic = ""config-mgmt-external""
if config_mgmt_topic in fetched_value:
    result = True
",repository_data.metadata.topics,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:44:23.627793""","""2025-08-07T22:44:23.627793""",False
1019,github_cm_5_2_compliance,Verify compliance with NIST 800-53 CM-5(2) - Access Restrictions for Change | Review System Changes,Check failed: Web commit signoff is not required for this repository,Check partially passed,Check passed: Web commit signoff is required for this repository,Enable web commit signoff requirement for the repository,"[""Navigate to the repository settings"", ""Under 'Code security and analysis', enable 'Web commit signoff required'""]",2024-06-30,True,llm_generator,access_control,"[""compliance"", ""nist"", ""cm"", ""github""]",access_control,medium,custom,"result = False
if fetched_value:
  result = True
",repository_data.metadata.web_commit_signoff_required,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:44:44.816587""","""2025-08-07T22:44:44.816587""",False
102,time_to_remediate_flaws_benchmark,"Verifies that the organization measures time between flaw identification and remediation, and has established benchmarks for corrective actions",The organization does not measure time to remediate flaws or lacks benchmarks for corrective actions,Check partially passed,The organization measures time to remediate flaws and has established benchmarks for corrective actions,Enable advanced security features to measure and benchmark flaw remediation,"[""Enable GitHub Advanced Security features like CodeQL, Dependabot, and secret scanning"", ""Configure alerting and reporting for identified vulnerabilities and flaws"", ""Establish SLAs and benchmarks for remediating flaws based on severity""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""si"", ""github""]",monitoring,high,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled and fetched_value.dependency_review_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:36:36.340364""","""2025-08-07T11:36:36.340364""",False
1020,enforce_monitor_software_install_policies,Verifies if automated mechanisms are used to enforce and monitor compliance with software installation policies,Automated mechanisms are not enabled to enforce and monitor software installation policies,Check partially passed,Automated mechanisms are enabled to enforce and monitor software installation policies,Enable dependency review to automatically enforce and monitor software dependencies,"[""Navigate to your repository settings"", ""Under 'Code security and analysis', enable 'Dependency review'""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""github""]",configuration,medium,custom,"result = False
if fetched_value.dependency_review_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:45:01.733998""","""2025-08-07T22:45:01.733998""",False
1021,enforce_monitor_software_installation_policies,Validates that automated mechanisms are used to enforce and monitor compliance with software installation policies.,Automated mechanisms are not used to enforce and monitor software installation policies on EC2 instances.,Check partially passed,Automated mechanisms are used to enforce and monitor software installation policies on EC2 instances.,Configure automated mechanisms to enforce and monitor software installation policies on EC2 instances.,"[""Review and update AWS Config rules or CloudWatch Events to detect and remediate unauthorized software installations."", ""Implement tools like AWS Systems Manager to manage approved software deployments across instances.""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value == 'spot':
  result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:45:10.793264""","""2025-08-07T22:45:10.793264""",False
1022,cm_7_4_unauthorized_software,Verifies that unauthorized software is prohibited from executing on the system,Unauthorized software is allowed to execute,Check partially passed,Unauthorized software is prohibited from executing,Configure system to prohibit execution of unauthorized software,"[""Identify authorized software and create allowlist"", ""Implement allow-all, deny-by-exception policy for software execution"", ""Review and update authorized software list periodically""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cm"", ""aws""]",configuration,high,custom,"result = False
authorized_software = ['Vendor1Software', 'Vendor2Software']
if fetched_value not in authorized_software:
  result = True
",instances.instance_type,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:45:54.845785""","""2025-08-07T22:45:54.845785""",False
1023,github_unauthorized_change_detection,Verifies that unauthorized change detection mechanisms are implemented for the GitHub repository,Unauthorized change detection mechanisms are not fully enabled for the repository,Check partially passed,Unauthorized change detection mechanisms are enabled for the repository,Enable advanced security features to detect unauthorized changes,"[""Navigate to the repository settings"", ""Enable GitHub Advanced Security features like CodeQL, Dependabot alerts, and secret scanning"", ""Configure push protection rules to prevent unauthorized commits""]",2024-06-30,True,llm_generator,monitoring,"[""compliance"", ""nist"", ""cm"", ""github""]",monitoring,medium,custom,"result = False
if fetched_value.advanced_security_enabled and fetched_value.secret_scanning_enabled and fetched_value.push_protection_enabled:
  result = True
",security_data.security_analysis,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:46:04.165677""","""2025-08-07T22:46:04.165677""",False
1024,github_alternate_processing_sites,Verifies if the repository has a contingency plan for transferring mission/business functions to alternate sites,Check failed: Repository description does not mention alternate sites,Check partially passed,Check passed: Repository description mentions alternate processing/storage sites,Update the repository description to include details about alternate processing/storage sites,"[""Edit the repository description field"", ""Add text referencing alternate sites for contingency operations""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cp"", ""github""]",configuration,medium,custom,"result = False
if 'alternate' in str(fetched_value).lower() and 'site' in str(fetched_value).lower():
  result = True
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:46:23.305227""","""2025-08-07T22:46:23.305227""",False
1025,cp_2_6_alternate_processing_storage_sites,Verifies if contingency plans include provisions for transferring mission/business functions to alternate processing and storage sites with minimal operational disruption.,Contingency plans do not address alternate processing/storage sites.,Check partially passed,Contingency plans include provisions for alternate processing/storage sites.,Update contingency plans to include provisions for alternate sites.,"[""Identify mission-critical systems and data"", ""Provision alternate sites for backup processing and storage"", ""Document procedures for transferring operations to alternate sites""]",2024-06-30,False,llm_generator,configuration,"[""compliance"", ""nist"", ""cp"", ""aws""]",configuration,high,custom,"result = False
if fetched_value:
  # Check if default VPC exists, indicating alternate site provisioning
  result = True
",account.limits.default-vpc,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:46:36.500038""","""2025-08-07T22:46:36.500038""",False
1026,coordinate_contingency_plan_with_external_providers,Verify that the repository's contingency plan is coordinated with external service providers' contingency plans,Check failed: The repository description does not mention coordinating the contingency plan with external service providers,Check partially passed,Check passed: The repository description mentions coordinating the contingency plan with external service providers,Update the repository description to include details on coordinating the contingency plan with external providers,"[""Edit the repository description field"", ""Add text stating how the contingency plan is coordinated with external service providers' plans""]",2024-06-30,False,llm_generator,configuration,"[""compliance"", ""nist"", ""cp"", ""github""]",configuration,medium,custom,"result = False
if 'contingency plan' in str(fetched_value).lower() and 'external service providers' in str(fetched_value).lower():
    result = True
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:46:45.899200""","""2025-08-07T22:46:45.899200""",False
1027,custom_develop_critical_components,Validates that critical system components are custom developed or reimplemented,Critical components are not custom developed or reimplemented,Check partially passed,Critical components are custom developed or reimplemented,Redevelop or reimplement the specified critical components,"[""Identify the critical system components that require custom development"", ""Allocate resources for redevelopment or reimplementation efforts"", ""Implement secure development practices during the customization process""]",2024-06-30,False,llm_generator,configuration,"[""compliance"", ""nist"", ""sa"", ""aws""]",configuration,high,custom,"result = False
if fetched_value == 'spot':
  result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:47:22.233152""","""2025-08-07T22:47:22.233152""",False
1028,employ_mechanisms_in_training_environments,Validates that mechanisms used in operations are employed to provide a realistic contingency training environment,"Check failed: On-demand instances are used in the training environment, which does not reflect real operational mechanisms.",Check partially passed,"Check passed: Spot instances are used in the training environment, providing a realistic contingency scenario.",Replace on-demand instances with spot instances in the training environment,"[""Identify training workloads running on on-demand instances"", ""Terminate the on-demand instances"", ""Launch new spot instances for the training workloads""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cp"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value == 'spot':
  result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:47:42.858097""","""2025-08-07T22:47:42.858097""",False
1029,github_cp_4(5)_self_challenge_testing,Verifies if mechanisms are employed to disrupt and adversely affect the system or system components for contingency testing,Check failed: Repository does not have a wiki enabled for self-challenge testing,Check partially passed,Check passed: Repository has a wiki enabled for self-challenge testing,Enable wiki for the repository to allow self-challenge testing,"[""Go to repository settings"", ""Enable wiki under 'Features' section""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cp"", ""github""]",configuration,medium,custom,"result = False
if fetched_value:
  result = True
",repository_data.metadata.has_wiki,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T22:48:40.649232""","""2025-08-07T22:48:40.649232""",False
103,maintain_supplier_service_inventory,Verify that an inventory of external services used by the organization is maintained,Check failed: Repository description does not mention external/third-party service usage,Check partially passed: Repository description is unclear about external/third-party service usage,Check passed: Repository description indicates external/third-party service usage is tracked,Update the repository description to clearly indicate if external/third-party services are used,"[""Edit the repository description field"", ""Add details about any external/third-party services utilized by this repository""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""id.am"", ""github""]",configuration,medium,custom,"result = False
if fetched_value and (""third-party"" in fetched_value.lower() or ""external"" in fetched_value.lower()):
  result = True
",repository_data.basic_info.description,1,<class 'con_mon_v2.mappings.github.GithubResource'>,,llm_generator,"""2025-08-07T11:36:55.789264""","""2025-08-07T11:36:55.789264""",False
1030,cp_4_5_contingency_plan_self_challenge,Verifies if mechanisms are employed to disrupt and adversely affect the system or system components for contingency plan testing.,No mechanisms are employed to disrupt and adversely affect the system or system components for contingency plan testing.,Check partially passed,Mechanisms are employed to disrupt and adversely affect the system or system components for contingency plan testing.,Launch spot instances to simulate system disruptions for contingency plan testing.,"[""Identify non-critical workloads that can be run on spot instances."", ""Configure auto-scaling groups to launch spot instances for those workloads.""]",2024-06-30,True,llm_generator,configuration,"[""compliance"", ""nist"", ""cp"", ""aws""]",configuration,medium,custom,"result = False
if fetched_value == 'spot':
    result = True
",instances.instance_lifecycle,2,<class 'con_mon_v2.mappings.aws.IAMResource'>,,llm_generator,"""2025-08-07T22:48:51.789897""","""2025-08-07T22:48:51.789897""",False
